p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
3.9390694086281e-16;2.17450988606401;0.738;0.246;2.99251102973477e-12;Tg 3;TGME49-276910
2.72664155213214e-15;1.95857648482151;0.885;0.552;2.07142958715479e-11;Tg 3;TGME49-239270
3.59320232683037e-15;2.39523625836036;0.525;0.114;2.72975580769303e-11;Tg 3;TGME49-266760
1.38684269032322e-14;1.66809255925786;0.672;0.203;1.05358439183855e-10;Tg 3;TGME49-263240
2.33113718704017e-14;1.80498616551577;0.885;0.616;1.77096492099442e-10;Tg 3;TGME49-238950
2.86500905097967e-14;1.77462192347514;0.82;0.377;2.17654737602925e-10;Tg 3;TGME49-227970
3.10245992848248e-14;1.74706900354817;0.754;0.274;2.35693880766814e-10;Tg 3;TGME49-262450
4.65907805654061e-14;1.63910165550434;0.508;0.11;3.5395015995539e-10;Tg 3;TGME49-217740
1.1018065319881e-13;2.02196145865142;0.82;0.388;8.37042422351361e-10;Tg 3;TGME49-240600
1.10449086596568e-13;1.5351921570197;0.705;0.246;8.39081710874124e-10;Tg 3;TGME49-224910
2.0581082407379e-13;1.69845367440762;0.541;0.142;1.56354483048858e-09;Tg 3;TGME49-305980
2.7141752724581e-13;1.98509479530369;0.525;0.132;2.06195895448642e-09;Tg 3;TGME49-224570
2.93645202110647e-13;1.56906859562957;0.443;0.082;2.23082260043459e-09;Tg 3;TGME49-232060
3.66487827151305e-13;1.8986065592086;0.656;0.21;2.78420802286847e-09;Tg 3;TGME49-311690
6.21191289229108e-13;2.06475279241411;0.623;0.199;4.71919022427353e-09;Tg 3;TGME49-218540
6.24096643220093e-13;2.07306563132303;0.623;0.221;4.74126219854305e-09;Tg 3;TGME49-233870
6.25128004457507e-13;1.55562389308076;0.803;0.349;4.74909744986368e-09;Tg 3;TGME49-203710
7.49757779761272e-13;1.65072698062397;0.754;0.306;5.69590985284639e-09;Tg 3;TGME49-243920
7.63560943696676e-13;1.59363550097405;0.361;0.053;5.80077248926365e-09;Tg 3;TGME49-239320
8.17871793426566e-13;1.92375750754806;0.492;0.114;6.21337201466162e-09;Tg 3;TGME49-225990
1.06118003333707e-12;1.73565839576531;0.574;0.164;8.06178471326172e-09;Tg 3;TGME49-217750
1.10738603186345e-12;1.90282250329851;0.754;0.356;8.41281168406663e-09;Tg 3;TGME49-254820
1.19388701281782e-12;1.72250693983987;0.574;0.171;9.069959636377e-09;Tg 3;TGME49-276110
1.50790273957831e-12;1.98342286242998;0.426;0.082;1.14555371125764e-08;Tg 3;TGME49-222020
1.63117702984498e-12;1.79283097944505;0.82;0.445;1.23920518957323e-08;Tg 3;TGME49-264080
2.05580671222118e-12;1.21725194722534;0.984;0.776;1.56179635927443e-08;Tg 3;TGME49-269980
3.42941041606662e-12;1.84479456141673;0.77;0.395;2.60532309308581e-08;Tg 3;TGME49-293590
4.54188093928055e-12;1.82717765582479;0.82;0.534;3.45046694957144e-08;Tg 3;TGME49-249270
6.69906990986781e-12;1.97126497258616;0.426;0.093;5.08928341052658e-08;Tg 3;TGME49-228180
9.79832869679906e-12;2.21439946274004;0.492;0.132;7.44379031095825e-08;Tg 3;TGME49-245670
1.04816141878298e-11;1.09411139665009;0.967;0.826;7.96288229849429e-08;Tg 3;TGME49-222220
1.2913215095121e-11;1.72266434753476;0.541;0.167;9.81016950776342e-08;Tg 3;TGME49-218530
1.39537789764581e-11;1.44852142710324;0.885;0.552;1.06006858884152e-07;Tg 3;TGME49-297340
1.40540482322218e-11;1.5794800134181;0.902;0.605;1.06768604420189e-07;Tg 3;TGME49-248880
1.80826403471074e-11;1.70188101390434;0.656;0.26;1.37373818716975e-07;Tg 3;TGME49-319860
2.52249487452604e-11;1.36140439652629;0.852;0.477;1.91633935617743e-07;Tg 3;TGME49-235880
2.53761591143351e-11;2.03485486598671;0.557;0.185;1.92782680791604e-07;Tg 3;TGME49-203170
3.01212495720976e-11;1.47192497295031;0.77;0.37;2.28831132999225e-07;Tg 3;TGME49-295990
3.23343290868189e-11;1.30093811741045;0.836;0.445;2.45643898072563e-07;Tg 3;TGME49-208842
3.87776471704581e-11;1.11118657125558;0.967;0.893;2.9459378555397e-07;Tg 3;TGME49-288380
4.0295545630398e-11;1.61936526655697;0.787;0.434;3.06125260154134e-07;Tg 3;TGME49-284540
