myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2
Zfp335	0.889	0.810930216216329	0.778	1.16992500144231	1	0.111
Zc3h8	0.889	1.21639532432449	0.778	1.75488750216347	1	0.222
Itga4	0.889	1.87317486071356	0.778	2.70242008226933	1	0.444
Nelfb	0.889	1.32175583998232	0.778	1.90689059560852	1	0.556
Psmd1	0.889	0.695494048569761	0.778	1.00338581483938	1	1
Trak2	0.889	1.20179652490334	0.778	1.73382588663564	1	0.444
Dst	0.889	1.12938394733486	0.778	1.62935662007961	1	0.444
Ak3	0.111	-1.16693153264559	0.778	-1.68352633520475	0.75	1
Gm6942	0.111	-1.26851132546351	0.778	-1.83007499855769	0	0.778
Ranbp3	0.111	-1.23407083548322	0.778	-1.78038787445734	1	1
Eif4g1	0.111	-0.758726826205927	0.778	-1.09461142955671	1	1
Rogdi	0.111	-0.808021123255645	0.778	-1.16572806745445	1	1
Ddx17	0.111	-0.916070685663563	0.778	-1.32161063531058	1	1
Siva1	0.111	-0.89592980922524	0.778	-1.29255349275385	1	1
Dtnbp1	0.111	-1.39072895818776	0.778	-2.00639777119815	0.75	1
Prkca	0.111	-2.53897387105828	0.778	-3.66296501272243	0	0.778
Uqcr10	0.111	-0.741075647131896	0.778	-1.06914616104077	1	1
Tug1	0.111	-1.55334844578306	0.778	-2.24100809950379	0.75	0.889
Rap2a	0.111	-0.54446398291482	0.778	-0.785495488093864	1	1
Nufip1	0.111	-1.48729757140876	0.778	-2.14571683059762	1	1
Cyba	0.111	-0.432579807041761	0.778	-0.624080742407853	1	1
Zfp36	0.111	-1.75709134028218	0.778	-2.53494696301404	1	1
Txnrd3	0.111	-2.484906649788	0.778	-3.58496250072116	0	0.778
Eif4h	0.111	-0.616749361066416	0.778	-0.889781244681956	1	1
Tmem51	0.111	-3.55534806148941	0.778	-5.12928301694497	0	0.778
Cd52	0.111	-0.922044558117299	0.778	-1.33022911147448	1	1
Prkacb	0.111	-2.28011223714199	0.778	-3.28950661719499	0	0.778
Gpr171	0.111	-2.484906649788	0.778	-3.58496250072116	0	0.778
Ncoa3	0.111	-1.52444469960071	0.778	-2.19930880822341	1	1
Ly75	0.111	-1.01015686810625	0.778	-1.45734830413681	0.75	1
Il1rn	0.111	-1.4796513030998	0.778	-2.13468559722698	1	1
Gal3st2c	0.111	-0.604593783218501	0.778	-0.872244452801627	1	1
Hps1	0.875	0.559615787935423	0.75	0.807354922057604	1	0.889
Gm9042	0.875	0.559615787935423	0.75	0.807354922057604	0.75	0
Gm47773	0.875	0.559615787935423	0.75	0.807354922057604	0.75	0
Ppp1r32	0.875	1.55814461804655	0.75	2.24792751344359	0.75	0
Nfkbie	0.875	1.1738357099057	0.75	1.69348695749933	1	0.556
Pdpk1	0.875	0.810930216216329	0.75	1.16992500144231	1	0.667
Zfp213	0.875	1.38629436111989	0.75	2	0.75	0
Nubp1	0.875	1.08768321813592	0.75	1.56919518486284	1	0.889
Csad	0.875	1.17865499634165	0.75	1.70043971814109	0.75	0
Gm48225	0.875	1.6094379124341	0.75	2.32192809488736	0.75	0
Atxn7l1	0.875	0.653538042464899	0.75	0.942856092896391	1	1
Gm46344	0.875	0.810930216216329	0.75	1.16992500144231	0.75	0
Rmi1	0.875	0.986820882679993	0.75	1.4236815936881	1	0.556
Supt4a	0.875	1.14740245283754	0.75	1.65535182861255	1	0.889
Tlcd2	0.875	1.50407739677627	0.75	2.16992500144231	0.75	0
Kbtbd13	0.875	2.4423470353692	0.75	3.52356195605701	0.75	0
Gm7286	0.875	0.810930216216329	0.75	1.16992500144231	1	0.333
Gm48114	0.875	1.94591014905531	0.75	2.8073549220576	0.75	0
Psd3	0.875	3.35863776724336	0.75	4.84549005094438	0.75	0
Asah1	0.875	0.721651631777803	0.75	1.04112323041526	1	0.889
